POS,Name,B,T,BABIP,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BBT,GBT,FBT,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,SPE,STE,SR,RUN,ACT,CID,CTier,L10,BUY,SELL,Lock,VAR,VLvl
RF,Giancarlo Stanton,R,R,67,67,65,65,108,81,65,68,63,60,104,79,60,Normal,Pull,Pull,1,25,1,73,1,1,26,1,76,1,3,-,-,-,-,7,9,28,5,37,44,72,18,-,16,-,-,-,42,-,41,2,6,3,34,No,82575,Bronze,30,28,30,Yes,N,0
LF,Spencer Steer,R,R,64,67,73,86,86,83,81,64,71,84,85,80,79,Normal,Normal,Normal,1,26,1,77,1,1,24,1,71,1,1,-,1,1,1,51,71,61,50,56,55,63,111,-,71,53,54,40,63,36,58,37,76,41,51,No,81959,Bronze,38,0,42,Yes,N,0
2B,Bryson Stott,L,R,83,83,86,69,56,78,90,83,89,70,58,78,94,Groundball,Pull,Pull,1,24,1,71,1,1,26,1,78,1,1,-,1,1,2,70,75,71,58,53,56,65,126,-,86,74,71,60,60,32,56,62,84,70,64,No,82047,Bronze,45,0,47,Yes,N,0
3B,Gio Urshela,R,R,91,93,96,78,63,63,95,91,93,72,57,61,93,Groundball,Normal,Normal,1,26,1,78,1,1,25,1,75,1,4,-,1,1,1,67,67,79,46,47,48,69,120,-,80,65,69,55,53,23,50,25,6,4,25,No,82334,Bronze,33,0,31,Yes,N,0
SP,Justin Verlander,R,R,32,34,27,18,4,22,13,32,24,16,3,20,12,Normal,Normal,Normal,67,79,86,87,76,61,75,82,82,72,69,61,-,-,-,22,36,48,18,-,-,-,71,-,56,-,14,-,-,-,-,11,5,11,18,No,82421,Bronze,34,0,31,Yes,N,0
RP,Tom Vickery,R,R,61,61,74,144,59,43,89,61,73,144,58,42,87,Line Drive,Normal,Normal,79,71,67,80,67,82,74,68,86,69,9,80,-,-,-,27,14,24,32,6,4,5,50,-,-,-,-,-,-,-,-,61,88,93,60,No,82662,Bronze,38,0,55,Yes,N,0
RF,Lee Walls,R,R,73,62,72,68,71,83,85,77,77,70,73,71,78,Normal,Spray,Spray,1,3,1,1,5,1,4,1,2,5,1,16,-,-,-,54,45,68,28,76,66,87,-,-,86,-,45,-,91,69,90,54,63,25,47,No,84131,Bronze,93,45,94,Yes,N,0
SS,Carson Williams,R,R,76,76,65,72,84,87,52,77,65,76,82,81,51,Normal,Pull,Pull,40,58,44,78,48,43,66,49,90,54,20,38,1,1,1,79,91,86,71,66,54,82,142,-,98,92,92,80,77,53,76,86,75,73,73,No,82522,Bronze,36,0,34,Yes,N,0
LF,Masataka Yoshida,L,R,85,84,92,75,59,69,99,86,94,78,61,70,101,Groundball,Normal,Normal,1,24,1,70,1,1,26,1,76,1,1,-,-,-,-,37,39,27,37,53,55,47,81,-,45,23,4,-,56,28,46,21,85,17,49,No,82609,Bronze,31,0,31,Yes,N,0
RF,Jo Adell,R,R,68,67,72,61,98,61,78,69,70,57,96,60,72,Normal,Pull,Pull,1,40,18,76,23,1,43,19,82,24,45,38,1,1,1,33,33,71,27,69,71,57,81,-,63,16,32,-,79,55,71,32,65,44,72,No,82306,Bronze,33,0,30,Yes,N,0
RP,Tyler Alexander,R,L,29,29,23,27,2,36,19,29,23,27,2,36,19,Normal,Normal,Normal,70,77,103,81,75,65,70,99,74,68,34,58,3,3,1,23,13,54,22,38,40,55,50,-,35,-,-,-,38,-,33,16,13,12,22,No,82216,Bronze,31,0,30,Yes,N,0
SP,Red Ames,S,R,8,5,15,47,6,56,24,10,12,48,4,39,12,Normal,Normal,Normal,97,61,64,49,68,93,74,63,92,66,85,75,-,-,-,35,17,25,23,7,4,3,62,-,-,-,-,-,-,-,-,65,75,73,57,No,83128,Bronze,75,0,56,Yes,N,0
LF,Garret Anderson,L,L,92,104,104,67,8,8,96,89,109,82,42,41,131,Normal,Pull,Pull,1,2,1,1,3,1,2,1,1,3,1,22,-,-,-,3,8,5,4,109,89,102,-,-,-,-,-,-,135,122,135,59,78,56,67,No,85060,Bronze,35,0,37,No,N,0
SP,Larry Benton,R,R,21,20,21,36,2,46,22,22,22,34,5,39,22,Normal,Pull,Pull,33,67,116,68,67,42,77,134,83,74,67,83,-,-,-,35,25,30,29,3,10,8,72,-,-,-,-,-,-,-,-,5,6,3,5,No,83113,Bronze,49,26,51,Yes,N,0
LF,Seth Brown,L,L,64,63,63,50,93,66,65,65,69,66,106,69,74,Flyball,Pull,Pull,1,23,1,69,1,1,25,1,75,1,1,-,18,18,29,26,32,43,19,58,58,57,70,-,46,-,-,-,64,38,57,32,72,23,60,No,82564,Bronze,34,0,34,Yes,N,0
SS,Jose Caballero,R,R,73,75,72,68,65,82,71,73,71,66,66,76,71,Normal,Spray,Spray,1,25,1,73,1,1,25,1,74,1,1,-,3,3,1,73,77,74,75,56,53,28,130,-,68,83,77,68,55,29,40,90,101,115,49,No,82558,Bronze,33,0,30,Yes,N,0
LF,Mark Canha,R,R,79,76,82,61,75,89,90,80,83,66,61,85,87,Normal,Ex. Pull,Pull,1,24,1,71,1,1,27,1,79,1,4,-,-,-,-,23,33,45,28,55,64,55,69,-,47,6,12,-,62,34,54,9,72,17,40,No,82200,Bronze,38,0,45,Yes,N,0
2B,Matt Carlisle,R,R,69,70,85,61,49,77,105,69,82,60,47,76,99,Normal,Spray,Normal,44,51,59,39,58,43,50,58,37,57,64,43,1,1,1,90,22,47,87,1,5,10,110,-,46,77,46,49,-,-,-,72,79,79,67,No,84440,Bronze,33,0,44,Yes,N,0
RP,Cris Carpenter,R,R,1,1,4,3,1,3,1,1,4,2,1,3,1,Normal,Normal,Normal,65,68,64,72,67,90,89,74,83,92,20,115,-,-,-,32,20,25,23,2,7,1,61,-,-,-,-,-,-,-,-,7,6,4,10,No,83133,Bronze,57,0,85,Yes,N,0
RP,Kutter Crawford,R,R,18,19,24,34,8,26,29,18,22,32,7,24,27,Normal,Normal,Normal,71,75,89,91,68,69,74,87,90,67,68,42,4,4,3,32,23,52,9,23,14,24,69,-,47,-,13,-,9,-,-,18,17,17,21,No,82614,Bronze,30,0,31,Yes,N,0
2B,Tony Cuccinello,R,R,55,55,79,81,100,61,109,56,74,70,72,71,94,Normal,Pull,Pull,1,1,1,1,2,1,1,1,1,2,1,11,-,-,-,67,68,41,77,3,9,3,-,-,-,73,51,-,-,-,-,52,61,35,53,No,83520,Bronze,31,0,58,Yes,N,0
SP,Hunter Dobbins,R,R,11,12,14,18,2,14,15,11,13,17,2,13,14,Normal,Normal,Normal,59,77,84,80,76,61,78,85,78,79,62,33,1,1,2,33,21,57,18,7,22,24,70,-,50,-,17,-,-,-,-,12,6,5,26,No,81880,Bronze,36,0,29,Yes,N,0
RP,Dylan Dodd,L,L,24,24,24,23,13,25,24,25,25,25,14,27,25,Normal,Pull,Pull,73,75,100,75,75,65,69,93,75,67,37,51,3,3,2,26,28,49,10,11,25,21,66,-,50,-,-,-,-,-,-,21,17,13,34,No,82136,Bronze,36,0,34,Yes,N,0
SP,Jesse Duryea,R,R,9,10,10,37,3,37,9,9,10,36,3,35,8,Normal,Spray,Spray,62,85,66,121,67,64,86,67,120,70,82,54,-,-,-,31,22,23,16,5,9,1,61,-,-,-,-,-,-,-,-,73,66,80,73,No,83145,Bronze,76,0,114,Yes,N,0
SP,Howard Ehmke,R,R,22,28,30,47,4,30,33,21,27,42,4,32,31,Normal,Normal,Normal,73,69,53,87,61,93,73,67,68,76,84,50,-,-,-,35,25,28,25,7,2,7,71,-,-,-,-,-,-,-,-,8,11,5,9,No,83126,Bronze,57,0,65,Yes,N,0
SP,Bailey Falter,R,L,17,17,18,20,7,14,19,17,18,20,7,14,19,Normal,Pull,Pull,62,80,80,88,76,60,78,78,86,74,65,57,4,4,4,37,10,50,12,35,25,50,61,-,52,-,-,-,31,-,25,15,13,11,22,No,82388,Bronze,30,0,29,Yes,N,0
RP,Ryan Fernandez,R,R,17,17,18,19,7,18,18,17,18,19,7,18,18,Normal,Normal,Normal,92,77,71,72,80,88,79,69,77,80,18,35,1,1,3,26,24,69,8,35,20,27,67,-,41,-,21,-,25,-,11,19,13,18,24,No,81866,Bronze,30,0,33,Yes,N,0
SP,Carl Fischer,R,L,2,1,7,8,1,4,8,3,6,4,1,9,4,Normal,Normal,Normal,111,63,50,40,75,91,82,54,98,75,67,33,-,-,-,24,20,22,23,10,8,6,51,-,-,-,-,-,-,-,-,9,6,5,13,No,83143,Bronze,63,0,75,Yes,N,0
2B,Alex Freeland,S,R,75,75,64,74,76,86,50,75,67,77,73,87,60,Normal,Pull,Pull,1,26,2,76,1,1,26,2,77,1,10,-,1,1,1,76,77,85,67,59,57,76,132,-,84,84,83,72,69,42,67,36,80,54,74,No,81777,Bronze,39,0,33,Yes,N,0
CF,TJ Friedl,L,L,65,67,76,68,61,89,87,65,76,70,62,91,89,Normal,Spray,Spray,1,29,1,86,1,1,27,1,79,1,1,-,1,1,2,37,36,48,1,81,78,63,81,-,50,-,-,-,94,73,86,78,75,41,64,No,81961,Bronze,31,0,30,Yes,N,0
SP,Pretzels Getzien,R,R,82,90,72,77,77,84,55,79,64,76,62,76,43,Normal,Spray,Spray,81,68,108,60,73,80,67,107,58,72,90,61,-,-,-,25,21,22,21,50,49,43,52,-,-,-,-,-,50,-,-,84,82,89,65,No,85139,Bronze,61,31,69,Yes,N,0
SP,Whitey Glazner,R,R,6,9,8,24,12,4,3,5,7,12,6,8,4,Normal,Normal,Normal,69,76,76,82,74,91,57,86,49,61,67,49,-,-,-,30,15,22,23,7,4,2,53,-,-,-,-,-,-,-,-,14,6,14,18,No,82812,Bronze,53,0,40,Yes,N,0
LF,Goose Goslin,L,R,58,71,85,72,56,79,103,50,78,78,76,76,113,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,7,-,-,-,3,9,7,10,52,57,48,-,-,-,-,-,-,56,-,47,53,61,34,59,No,83596,Bronze,109,66,104,Yes,N,0
RP,Tim Hill,R,L,10,10,16,16,1,16,20,11,17,16,1,17,22,Normal,Pull,Pull,60,97,95,97,98,54,85,96,83,86,15,81,1,1,5,12,20,51,11,6,25,51,42,-,30,-,-,-,-,-,-,21,24,16,24,No,82551,Bronze,31,0,28,Yes,N,0
RP,Bryan Hoeing,R,R,23,23,19,19,6,21,16,23,19,19,6,21,16,Normal,Pull,Pull,59,74,84,72,76,65,86,87,88,86,38,42,2,2,2,25,12,66,7,24,7,21,52,-,44,-,-,-,-,-,-,11,11,5,18,No,81763,Bronze,30,0,30,Yes,N,0
RF,Danny Hoffman,L,L,87,77,68,65,109,39,60,90,80,72,88,61,72,Normal,Normal,Normal,1,3,1,1,4,1,3,1,1,4,1,10,-,-,-,4,3,10,3,53,48,66,-,-,-,-,-,-,59,31,55,76,85,85,67,No,83564,Bronze,70,29,52,Yes,N,0
RP,Colin Holderman,R,R,17,19,26,19,23,20,31,17,23,17,22,18,30,Normal,Normal,Normal,78,79,70,81,78,82,82,71,82,82,15,52,-,-,2,10,24,58,3,9,15,28,44,-,31,-,-,-,-,-,-,17,20,6,25,No,82430,Bronze,70,61,66,Yes,N,0
1B,Niko Kavadas,L,R,79,82,64,66,88,88,40,79,66,69,89,97,49,Normal,Ex. Pull,Pull,1,25,1,75,1,1,25,1,74,1,1,-,3,3,4,18,28,33,18,41,40,45,54,-,36,-,-,-,40,9,31,24,11,10,48,No,82299,Bronze,29,0,30,Yes,N,0
SP,Jack Kralick,L,L,6,4,8,6,16,19,9,7,13,13,17,19,18,Normal,Normal,Normal,107,98,78,62,116,59,65,104,55,71,83,64,-,-,-,35,40,32,23,4,9,7,81,-,-,-,-,-,-,-,-,5,6,3,5,No,85509,Bronze,2 277,1 400,2 150,No,N,0
RP,Mark Leiter Jr.,R,R,34,34,30,36,10,16,27,34,30,36,10,16,27,Normal,Normal,Normal,91,71,74,66,74,89,71,73,67,73,19,51,1,1,1,21,36,41,21,12,18,20,68,-,42,1,10,-,-,-,-,23,5,15,48,No,82282,Bronze,30,0,29,Yes,N,0
RP,Dicky Lovelady,L,L,38,38,31,17,4,34,23,38,31,17,4,34,23,Normal,Normal,Normal,80,85,79,80,88,76,78,79,72,81,17,70,1,1,1,26,31,44,33,3,3,3,71,-,44,-,-,-,-,-,-,20,13,15,33,No,82033,Bronze,29,0,26,Yes,N,0
SP,Carl Lundgren,R,R,1,1,5,7,1,16,2,1,5,5,1,31,3,Normal,Spray,Spray,63,89,70,80,94,62,87,77,78,92,87,60,-,-,-,24,36,25,16,3,10,6,67,-,-,-,-,-,-,-,-,65,75,71,56,No,82658,Bronze,62,0,87,Yes,N,0
RP,Daniel Lynch IV,L,L,28,27,26,18,5,17,27,29,28,20,6,18,29,Normal,Normal,Normal,66,80,84,84,79,64,80,84,84,78,33,56,-,-,3,26,9,48,3,36,21,27,46,-,42,-,-,-,26,-,13,15,22,7,17,No,82381,Bronze,31,0,29,Yes,N,0
SP,Carlos Martinez,R,R,5,9,8,10,1,10,3,4,7,5,1,5,6,Normal,Normal,Normal,62,80,63,84,79,68,91,71,87,93,81,62,-,-,-,23,13,19,23,7,4,5,42,-,-,-,-,-,-,-,-,17,6,5,29,No,84819,Bronze,44,0,45,Yes,N,0
2B,Brice Matthews,R,R,77,77,65,81,79,84,52,77,65,81,78,84,50,Normal,Spray,Spray,1,25,5,75,1,1,26,5,78,1,5,9,1,1,1,76,71,65,69,77,61,57,127,-,77,81,70,64,85,64,76,90,83,85,64,No,84999,Bronze,64,26,93,Yes,N,0
RP,Tim Mayza,L,L,23,23,30,18,12,16,34,23,30,18,12,16,34,Normal,Normal,Normal,76,87,77,89,87,74,76,82,77,76,14,59,1,1,1,24,22,46,18,8,25,25,57,-,43,-,-,-,-,-,-,18,16,8,29,No,84957,Bronze,114,26,132,Yes,N,0
CF,Oddibe McDowell,L,L,66,49,57,64,86,77,64,70,77,74,76,80,87,Normal,Normal,Normal,1,1,1,1,1,1,1,1,2,1,1,19,-,-,-,2,4,10,9,72,91,110,-,-,-,-,-,-,98,72,-,80,76,87,84,No,83575,Bronze,27,0,26,No,N,0
C,Miguel Montero,L,R,60,61,62,42,69,99,64,60,64,52,89,111,69,Normal,Normal,Normal,1,3,1,1,4,1,3,1,1,4,1,15,42,77,34,6,3,3,9,5,5,7,-,44,-,-,-,-,-,-,-,7,11,13,18,No,83661,Bronze,38,0,41,Yes,N,0
RP,Jovani Moran,L,L,12,12,16,18,1,12,20,12,16,18,1,12,20,Normal,Normal,Normal,95,90,67,87,92,89,81,64,83,81,24,62,4,4,2,29,16,43,2,17,19,18,55,-,39,-,-,-,4,-,-,14,18,14,11,No,84924,Bronze,107,33,90,Yes,N,0
RF,Eddie Murphy,L,R,73,58,71,61,39,86,86,78,97,61,39,88,123,Normal,Spray,Spray,1,3,1,1,4,1,3,1,2,4,1,12,-,-,-,6,9,6,10,48,55,64,-,-,-,-,-,-,-,-,50,72,80,78,65,No,84133,Bronze,47,0,51,Yes,N,0
SP,Art Nehf,L,L,25,24,18,135,48,41,13,26,26,111,41,46,27,Line Drive,Pull,Pull,55,77,84,89,71,47,79,84,99,69,87,57,-,-,-,28,42,35,37,2,2,5,79,-,-,-,-,-,-,-,-,59,72,78,43,No,83152,Bronze,50,0,51,Yes,N,0
CF,Dode Paskert,R,R,58,63,75,131,65,82,90,56,69,112,89,86,83,Line Drive,Pull,Pull,1,2,1,1,3,1,2,1,1,3,1,22,-,-,-,6,9,2,1,65,102,62,-,-,-,-,-,-,82,54,-,70,81,81,63,No,83599,Bronze,52,26,51,Yes,N,0
RP,Tyler Phillips,R,R,19,19,17,29,12,20,15,19,17,29,12,20,15,Normal,Pull,Pull,68,83,76,83,83,65,82,74,84,81,36,26,4,4,2,39,17,28,16,4,14,13,66,-,62,-,-,-,-,-,-,9,3,16,8,No,82120,Bronze,31,0,33,Yes,N,0
3B,Wesley Pryor,L,R,77,75,82,66,64,64,91,78,87,68,68,66,97,Normal,Pull,Normal,1,10,1,17,7,1,11,1,20,7,1,6,1,1,1,77,65,85,71,9,4,9,-,-,-,-,79,-,-,-,-,75,87,87,71,No,84441,Bronze,50,30,51,Yes,N,0
RP,Colin Rea,R,R,47,47,35,30,12,23,25,47,35,30,12,23,25,Normal,Normal,Normal,64,76,86,86,71,66,77,87,87,73,70,30,-,-,-,24,15,40,28,-,-,-,50,-,43,-,-,-,-,-,-,16,16,9,23,No,81996,Bronze,31,0,29,Yes,N,0
RF,Rob Refsnyder,R,R,79,82,73,63,80,92,65,79,70,63,78,85,63,Normal,Spray,Spray,1,29,1,86,1,1,27,1,80,1,-,-,1,1,1,51,47,57,53,61,65,61,99,-,73,46,41,30,69,43,63,17,72,34,58,No,82236,Bronze,30,0,26,Yes,N,0
RF,Victor Robles,R,R,86,88,88,62,74,70,87,86,83,71,63,63,81,Groundball,Normal,Normal,1,26,9,76,1,1,26,9,78,1,9,-,2,2,1,9,16,28,5,79,79,73,27,-,18,-,-,-,95,73,89,65,86,89,75,No,82234,Bronze,29,0,30,Yes,N,0
SS,Brayan Rocchio,S,R,73,74,82,78,70,75,93,73,82,74,66,78,94,Normal,Spray,Spray,1,25,5,74,1,1,25,5,75,1,7,-,5,5,1,80,89,60,68,65,65,51,138,-,76,90,76,72,72,47,63,46,74,58,57,No,82433,Bronze,35,0,30,Yes,N,0
RP,John Schreiber,R,R,24,24,21,18,4,17,19,24,21,18,4,17,19,Normal,Normal,Normal,74,75,73,81,73,81,84,76,90,82,15,53,1,1,1,30,35,55,34,1,3,1,79,-,57,17,23,-,-,-,-,16,14,11,23,No,82385,Bronze,36,0,37,Yes,N,0
1B,George Scott,R,R,60,73,63,80,91,89,49,52,62,64,92,82,70,Normal,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,4,-,-,-,72,34,64,86,9,5,4,-,-,81,-,53,-,-,-,-,56,85,11,44,No,84347,Bronze,29,0,29,Yes,N,0
CF,Victor Scott II,L,L,70,70,74,52,43,74,80,71,76,61,57,76,83,Normal,Normal,Normal,1,27,1,80,1,1,28,1,82,1,-,-,-,-,-,16,25,40,11,95,85,56,49,-,28,-,-,-,109,93,98,91,96,98,71,No,81873,Bronze,32,0,30,Yes,N,0
SP,Frank Smith,R,R,37,51,34,87,34,46,12,33,29,73,53,62,25,Normal,Normal,Normal,93,87,54,115,73,92,66,54,56,72,87,69,-,-,-,25,36,30,29,10,3,4,70,-,-,-,-,-,-,-,-,71,63,70,76,No,83153,Bronze,46,40,43,Yes,N,0
C,Pop Snyder,R,R,46,47,68,96,95,59,86,46,66,94,92,57,84,Normal,Normal,Normal,1,3,1,1,4,1,3,1,1,4,1,23,73,59,71,3,1,9,3,2,1,1,-,66,-,-,-,-,-,-,-,67,84,93,69,No,83496,Bronze,72,26,64,Yes,N,0
RF,Clyde Spearman,L,R,69,68,79,66,50,88,94,70,83,67,54,90,99,Normal,Normal,Spray,1,6,1,18,1,1,7,1,20,1,1,12,1,1,1,7,8,2,11,66,78,72,-,-,-,-,-,-,80,-,76,70,68,36,54,No,84450,Bronze,77,26,71,Yes,N,0
SP,Mitch Spence,R,R,23,23,20,18,10,19,18,23,20,18,10,19,18,Normal,Normal,Normal,65,74,85,74,74,62,73,82,77,72,56,38,2,2,3,50,28,48,23,26,18,22,86,-,64,24,23,11,14,-,-,18,22,13,20,No,82365,Bronze,37,0,41,Yes,N,0
SS,Jake Stephens,R,R,48,49,68,64,29,84,86,48,68,65,29,84,86,Normal,Spray,Spray,1,9,1,19,4,1,9,1,20,4,1,19,1,1,1,100,74,97,80,55,62,68,-,-,-,109,102,96,-,-,60,60,77,65,63,No,84427,Bronze,44,0,50,Yes,N,0
C,Tyler Stephenson,R,R,76,76,70,67,83,93,66,77,70,69,82,91,64,Normal,Ex. Pull,Pull,1,28,1,82,1,1,28,1,83,1,1,-,65,52,59,24,32,67,8,46,58,70,71,54,52,-,22,-,54,23,51,23,6,5,40,No,81964,Bronze,31,0,36,Yes,N,0
1B,Fred Tenney,L,L,69,79,79,31,1,95,81,66,90,74,62,117,130,Normal,Spray,Spray,1,3,1,1,5,1,3,1,1,5,1,13,-,-,-,67,47,51,38,3,1,1,-,-,62,-,-,-,-,-,-,49,77,77,71,No,82710,Bronze,73,0,97,Yes,N,0
C,Matt Thaiss,L,R,74,74,70,60,69,84,67,75,73,65,66,92,73,Normal,Normal,Normal,1,26,9,76,1,1,26,9,78,1,8,-,57,49,53,42,48,54,36,35,36,50,92,46,68,32,33,19,33,-,27,45,16,13,39,No,82589,Bronze,29,0,32,Yes,N,0
3B,Ramon Urias,R,R,77,76,77,80,79,73,79,78,77,71,77,71,77,Normal,Spray,Spray,1,24,3,72,1,1,26,3,77,1,8,-,3,3,1,66,70,69,59,59,51,49,121,-,71,69,66,55,62,37,53,28,16,14,49,No,81874,Bronze,34,0,32,Yes,N,0
SP,Edinson Volquez,R,R,1,1,13,36,14,33,24,1,13,21,29,37,23,Normal,Spray,Spray,77,80,55,73,84,80,74,61,72,75,62,57,-,-,-,26,26,25,23,3,5,3,60,-,-,-,-,-,-,-,-,16,6,5,28,No,84028,Bronze,56,0,73,Yes,N,0
RP,Huascar Ynoa,R,R,25,25,29,34,2,34,33,25,29,34,2,34,33,Normal,Normal,Normal,72,72,75,76,70,73,77,75,85,73,36,52,2,2,2,31,20,63,15,10,24,28,68,-,51,-,19,-,-,-,-,13,5,14,19,No,82312,Bronze,34,0,33,Yes,N,0
LF,Jared Young,L,R,67,67,64,67,83,82,62,68,68,76,86,89,69,Normal,Pull,Pull,1,24,1,71,1,1,27,1,79,1,1,-,1,1,4,44,56,53,48,53,58,49,98,-,75,41,39,26,57,28,48,50,70,35,67,No,82077,Bronze,33,0,34,Yes,N,0
SP,Raleigh Aitchison,R,L,2,2,5,2,1,5,2,2,5,1,1,5,2,Normal,Spray,Spray,82,71,67,89,63,70,72,71,80,69,92,104,-,-,-,24,20,22,23,6,4,4,50,-,-,-,-,-,-,-,-,6,6,8,5,No,84243,Bronze,54,0,65,Yes,N,0
CF,Ed Andrews,R,R,49,51,77,68,68,70,109,49,75,67,66,68,103,Normal,Pull,Pull,1,3,1,1,4,1,3,1,1,4,1,1,-,-,-,50,57,28,59,81,74,83,-,-,-,48,-,-,98,77,-,87,102,102,106,No,82705,Bronze,30,0,31,Yes,N,0
3B,Miguel Andujar,R,R,88,91,97,77,62,60,99,88,94,78,61,56,99,Normal,Ex. Pull,Pull,1,29,1,85,1,1,27,1,81,1,-,-,-,-,-,35,40,88,35,36,39,82,88,-,59,25,46,1,42,-,44,21,72,16,45,No,81744,Bronze,33,0,32,Yes,N,0
SP,Spencer Arrighetti,R,R,22,22,30,38,10,34,35,22,30,38,10,34,35,Normal,Normal,Normal,84,74,66,84,70,83,74,66,84,69,59,45,1,1,3,28,24,35,9,11,22,21,60,-,45,-,-,-,-,-,-,15,3,6,34,No,85243,Bronze,71,30,117,Yes,N,0
1B,George Burns,R,R,98,88,76,67,65,47,66,102,99,90,69,69,91,Normal,Normal,Normal,1,3,1,1,5,1,3,1,1,5,1,15,-,-,-,46,25,45,48,3,3,5,-,-,63,-,-,-,-,-,-,66,86,76,65,No,84380,Bronze,47,0,60,Yes,N,0
RF,Lawrence Butler,L,R,76,76,69,77,79,79,63,77,74,81,81,82,73,Normal,Pull,Pull,1,25,1,73,1,1,25,1,74,1,1,-,10,10,6,38,53,45,36,70,71,72,91,-,76,29,29,6,83,59,79,48,80,65,51,No,84894,Bronze,42,0,39,Yes,N,0
C,Victor Caratini,S,R,72,75,82,44,65,70,91,71,80,49,65,72,92,Normal,Pull,Pull,1,27,1,81,1,1,24,1,72,1,1,-,69,68,56,29,26,37,22,43,39,66,66,62,40,4,4,-,46,15,43,2,16,3,52,No,82340,Bronze,35,0,42,Yes,N,0
LF,Dylan Carlson,S,L,70,76,77,62,65,90,80,68,72,72,74,90,77,Normal,Pull,Pull,1,30,1,90,1,1,24,1,70,1,1,-,1,1,1,36,45,45,18,66,72,62,85,-,67,-,-,-,77,52,70,56,70,31,53,No,81980,Bronze,36,0,35,Yes,N,0
SP,Arnold Carter,L,L,2,2,5,5,4,3,1,2,5,6,5,4,2,Normal,Normal,Normal,46,93,68,93,94,37,89,81,85,91,62,69,-,-,-,32,20,25,23,8,5,7,61,-,-,-,-,-,-,-,-,9,6,5,14,No,84254,Bronze,39,0,45,Yes,N,0
CF,Sam Chapman,R,R,51,47,64,69,70,60,77,53,66,82,97,80,79,Normal,Spray,Spray,1,3,1,1,4,1,3,1,1,4,1,22,-,-,-,32,26,29,31,69,44,57,-,-,48,-,-,-,73,51,-,65,71,56,72,No,83561,Bronze,57,0,55,Yes,N,0
SP,Mort Cooper,R,R,21,18,17,34,31,27,16,22,22,20,34,39,22,Normal,Normal,Normal,88,60,67,64,58,88,72,70,76,70,58,33,-,-,-,25,16,21,23,10,2,1,47,-,-,-,-,-,-,-,-,5,6,5,5,No,83870,Bronze,55,30,74,Yes,N,0
SS,J.P. Crawford,L,R,66,65,75,70,59,102,87,67,76,72,61,108,88,Normal,Normal,Normal,1,27,1,80,1,1,29,1,87,1,-,-,1,1,1,75,72,70,65,69,62,64,127,-,93,79,71,64,78,54,72,19,76,19,81,No,82237,Bronze,42,0,54,Yes,N,0
SS,Ezequiel Duran,R,R,90,91,87,101,61,62,82,90,86,89,60,60,82,Line Drive,Pull,Pull,1,25,5,75,1,1,26,5,76,1,1,-,3,3,1,77,72,62,73,66,71,59,128,-,78,83,69,65,76,51,68,46,81,71,66,No,82207,Bronze,33,0,37,Yes,N,0
RP,Braydon Fisher,R,R,24,25,31,14,3,6,36,24,30,13,3,5,35,Normal,Pull,Pull,94,79,63,85,76,95,80,64,86,78,20,35,1,1,1,15,17,50,-,18,42,36,40,-,31,-,-,-,13,-,-,4,4,8,1,No,82494,Bronze,40,26,37,Yes,N,0
1B,Del Gainer,R,R,83,102,89,72,85,70,75,77,73,65,63,82,71,Groundball,Spray,Spray,1,5,1,1,7,1,5,1,1,7,1,23,-,-,-,38,42,36,29,73,55,63,-,-,61,-,-,-,-,59,-,61,80,63,52,No,83495,Bronze,62,0,63,Yes,N,0
C,Barney Gilligan,R,R,62,63,72,81,51,129,83,62,70,79,49,120,80,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,17,82,73,57,3,7,9,7,7,1,3,-,71,-,-,-,-,-,-,-,58,85,89,57,No,82901,Bronze,91,26,87,Yes,N,0
LF,Lourdes Gurriel Jr.,R,R,76,81,89,81,81,66,97,75,85,78,78,62,97,Normal,Pull,Pull,1,27,1,79,1,1,24,1,72,1,1,-,1,1,4,26,31,48,20,50,50,74,70,-,54,3,13,-,58,29,56,35,73,33,59,No,81838,Bronze,32,0,42,Yes,N,0
3B,Ke'Bryan Hayes,R,R,69,71,80,66,62,67,92,69,78,64,58,66,89,Groundball,Normal,Normal,1,28,1,84,1,1,27,1,79,1,1,-,1,1,1,94,89,89,56,58,62,82,149,-,94,99,98,88,71,43,70,51,80,54,67,No,81956,Bronze,30,0,34,Yes,N,0
RF,Mike Hershberger,R,R,74,67,90,61,45,83,128,77,96,82,30,73,122,Normal,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,23,-,-,-,7,3,3,3,54,44,110,-,-,-,-,-,-,68,40,76,38,72,42,40,No,83617,Bronze,92,26,105,Yes,N,0
